"X;Y;OBJECTID;Cuadricula;GSM_up;GSM_down;UMTS;Latitud;Longitud;Fecha;DDLat;DDLon;GSM;UMTS_1"
"-17,8502777777778;28,825;30;0;-64;-64;-104;28 49 30N;017 51 01W;2013/12/06 00:00:00+00;""28;82500N"";""017;85028W"";GPRS y GSM;Nivel correcto"
"-17,9;28,8247222222224;31;0;-74;-84;-104;28 49 29N;017 54 00W;2013/12/06 00:00:00+00;""28;82472N"";""017;90000W"";GPRS y GSM;Nivel correcto"
"-17,8975;28,8233333333333;32;0;-64;-94;-104;28 49 24N;017 53 51W;2013/12/07 00:00:00+00;""28;82333N"";""017;89750W"";GPRS y GSM;Nivel correcto"
"-17,8947222222222;28,8269444444444;33;0;-64;-64;-109;28 49 37N;017 53 41W;2013/12/07 00:00:00+00;""28;82694N"";""017;89472W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8816666666667;28,8241666666666;34;0;-89;-84;-105;28 49 27N;017 52 54W;2013/12/07 00:00:00+00;""28;82417N"";""017;88167W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8644444444444;28,8258333333334;35;0;-64;-74;-108;28 49 33N;017 51 52W;2013/12/07 00:00:00+00;""28;82583N"";""017;86444W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8547222222222;28,8269444444444;36;0;-74;-69;-108;28 49 37N;017 51 17W;2013/12/07 00:00:00+00;""28;82694N"";""017;85472W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8525;28,8227777777778;37;0;-74;-67;-104;28 49 22N;017 51 09W;2013/12/07 00:00:00+00;""28;82278N"";""017;85250W"";GPRS y GSM;Nivel correcto"
"-17,845;28,8227777777778;38;0;-74;-67;-104;28 49 22N;017 50 42W;2013/12/07 00:00:00+00;""28;82278N"";""017;84500W"";GPRS y GSM;Nivel correcto"
"-17,8383333333333;28,8225;39;0;-69;-64;-109;28 49 21N;017 50 18W;2013/12/07 00:00:00+00;""28;82250N"";""017;83833W"";GPRS y GSM;Dificultad en la comunicación"
"-17,815;28,82;40;0;-74;-69;-106;28 49 12N;017 48 54W;2013/12/07 00:00:00+00;""28;82000N"";""017;81500W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8088888888889;28,8191666666667;41;0;-84;-69;-104;28 49 09N;017 48 32W;2013/12/17 00:00:00+00;""28;81917N"";""017;80889W"";GPRS y GSM;Nivel correcto"
"-17,7986111111111;28,8241666666667;42;0;-64;-99;-104;28 49 27N;017 47 55W;2013/12/17 00:00:00+00;""28;82417N"";""017;79861W"";GPRS y GSM;Nivel correcto"
"-17,7827777777777;28,8233333333333;43;0;-64;-69;-104;28 49 24N;017 46 58W;2013/12/17 00:00:00+00;""28;82333N"";""017;78278W"";GPRS y GSM;Nivel correcto"
"-17,7733333333333;28,8197222222222;44;0;-64;-64;-104;28 49 11N;017 46 24W;2013/12/17 00:00:00+00;""28;81972N"";""017;77333W"";GPRS y GSM;Nivel correcto"
"-17,9569444444444;28,8166666666668;45;0;-94;-100;-109;28 48 60N;017 57 25W;2013/12/05 00:00:00+00;""28;81667N"";""017;95694W"";GPRS y GSM;Dificultad en la comunicación"
"-17,9533333333333;28,8122222222223;46;0;-84;-84;-104;28 48 44N;017 57 12W;2013/12/05 00:00:00+00;""28;81222N"";""017;95333W"";GPRS y GSM;Nivel correcto"
"-17,9511111111111;28,8138888888889;47;0;-84;-84;-104;28 48 50N;017 57 04W;2013/12/05 00:00:00+00;""28;81389N"";""017;95111W"";GPRS y GSM;Nivel correcto"
"-17,9427777777778;28,8211111111112;48;0;-94;-89;-109;28 49 16N;017 56 34W;2013/12/06 00:00:00+00;""28;82111N"";""017;94278W"";GPRS y GSM;Dificultad en la comunicación"
"-17,9438888888888;28,8175;49;0;-99;-89;-109;28 49 03N;017 56 38W;2013/12/06 00:00:00+00;""28;81750N"";""017;94389W"";GPRS y GSM;Dificultad en la comunicación"
"-17,9177777777778;28,8163888888889;50;0;-69;-74;-94;28 48 59N;017 55 04W;2013/12/06 00:00:00+00;""28;81639N"";""017;91778W"";GPRS y GSM;Nivel correcto"
"-17,9030555555556;28,8158333333334;51;0;-74;-94;-110;28 48 57N;017 54 11W;2013/12/07 00:00:00+00;""28;81583N"";""017;90306W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8952777777777;28,8022222222223;52;0;-82;-99;-110;28 48 08N;017 53 43W;2013/12/07 00:00:00+00;""28;80222N"";""017;89528W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8858333333333;28,8158333333334;53;0;-74;-89;-108;28 48 57N;017 53 09W;2013/12/07 00:00:00+00;""28;81583N"";""017;88583W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8586111111111;28,8144444444445;54;0;-84;-89;-108;28 48 52N;017 51 31W;2013/12/07 00:00:00+00;""28;81444N"";""017;85861W"";GPRS y GSM;Dificultad en la comunicación"
"-17,8586111111111;28,8136111111112;55;0;-114;-109;-114;28 48 49N;017 51 31W;2013/12/07 00:00:00+00;""28;81361N"";""017;85861W"";no GPRS y no GSM;Nivel insuficiente"
"-17,8716666666667;28,7988888888889;56;0;-94;-104;-114;28 47 56N;017 52 18W;2013/12/07 00:00:00+00;""28;79889N"";""017;87167W"";no GPRS y dificultad GSM;Nivel insuficiente"
"-17,8397222222222;28,8172222222223;57;0;-94;-104;-109;28 49 02N;017 50 23W;2013/12/07 00:00:00+00;""28;81722N"";""017;83972W"";no GPRS y dificultad GSM;Dificultad en la comunicación"
"-17,8477777777778;28,8227777777778;58;0;-94;-92;-114;28 49 22N;017 50 52W;2013/12/07 00:00:00+00;""28;82278N"";""017;84778W"";GPRS y GSM;Nivel insuficiente"
"-17,8397222222222;28,8186111111112;59;0;-94;-104;-114;28 49 07N;017 50 23W;2013/12/07 00:00:00+00;""28;81861N"";""017;83972W"";no GPRS y dificultad GSM;Nivel insuficiente"
"-17,8030555555555;28,8116666666668;60;0;-74;-89;-104;28 48 42N;017 48 11W;2013/12/17 00:00:00+00;""28;81167N"";""017;80306W"";GPRS y GSM;Nivel correcto"
"-17,7911111111111;28,8136111111112;61;0;-64;-79;-104;28 48 49N;017 47 28W;2013/12/17 00:00:00+00;""28;81361N"";""017;79111W"";GPRS y GSM;Nivel correcto"
"-17,7891666666667;28,8136111111112;62;0;-94;-89;-104;28 48 49N;017 47 21W;2013/12/17 00:00:00+00;""28;81361N"";""017;78917W"";GPRS y GSM;Nivel correcto"
