ID,APLICACIÓN,AREA,SUB_ÁREA,DENOMINACIÓN,EUROS,FID
922,41020400,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",ARRENDAMIENTO ELEMENTO DE TRANSPORTE,5500,728
818,34146204,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBVENCIÓN EVENTOS DEPORTIVOS AYUNTAMIENTOS,1000,729
680,33622612,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,PUBLICACIONES TALLER DE RESTAURACIÓN DE DOCUMENTOS GRAFICOS,1500,730
923,41021400,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA","REPARACIÓN, MANTENIMIENTO Y CONSERVACIÓN DE ELEMENTOS DE TRANSPORTE",8000,731
819,34146206,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. FORMACIÓN DEPORTIVA A AYUNTAMIENTOS,5000,732
820,34146207,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. AYTO. DE TAZACORTE EQUIPAMIENTO DEPORTIVO,6000,733
821,34148900,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBVENCIONES AYUDAS AL DEPORTE,230000,734
822,34148901,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBVENCIÓN ASOC. AMIGOS DEL DOMINÓ DE LA PALMA. LIGA INSULAR,6000,735
823,34148902,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. CLUB DE ARRASTRE LA CANGA. LIGA INSULAR,10000,736
824,34148903,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. CLUB AUARITA VIVA PROMOCIÓN Y TECNIFICACIÓN VOLEY,2500,737
825,34148904,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBVENCIÓN FEDERACIÓN INSULAR DE BALONCESTO PROMOC. Y TECNIFICACIÓN,47000,738
826,34148905,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBVENCIÓN FORMACIÓN DEPORTIVA A ENTIDADES,7000,739
827,34148906,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. LIMONIUM CANARIAS PARADISE O-LA PALMA INTERNACIONAL,5000,740
828,34148907,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. FEDERACIÓN CANARIA DE PADEL LIGA INSULAR,7000,741
829,34148908,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. CLUB DE TENIS VALLE DE ARIDANE AYUDA DESPLAZAMIENTO,6560,742
830,34148909,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBVENCION FEDERACIÓN INSULAR LUCHA CANARIA PROMOC. Y TECNIFICACIÓN,50000,743
831,34148910,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. CD MENSAJERO AYUDA DESPLAZAMIENTO ,8640,744
832,34148911,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBVENCIÓN FEDERACIÓN INSULAR DE AUTOMOVILISMO PROMOCIÓN Y TECNIFICACIÓN,50000,745
833,34148912,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. FEDERACIÓN CANARIA DE JUDO PROMOCIÓN Y TECNIFICACIÓN ,5270,746
834,34148913,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. FEDERACIÓN CANARIA DE BEISBOL. PROMOCIÓN Y TECNIFICACIÓN,1000,747
835,34148914,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. FEDERACIÓN CANARIA DE MONTAÑA PROMOCIÓN Y TECNIFICACIÓN ,8000,748
836,34148916,DEPORTES,PROMOCIÓN Y FOMENTO DEL DEPORTE,SUBV. ASOC. CANARIA FUTBOL SALA PROMOCIÓN Y TECNIFICACIÓN,10000,749
681,33622613,CULTURA,ARQUEOLOGÍA Y PROTECCIÓN DEL PATRIMONIO HIST-ART,PROYECTO 186 ESCALONES EN MEMORIA DE LOS CANARIOS MAUTHAUSEN (1945-2020),13990,750
924,41022000,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",MATERIAL DE OFICINA AGRICULTURA,3500,751
925,41022001,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA","LIBROS, REVISTAS, PRENSA Y OTRAS PUBLICACIONES",500,752
926,41022002,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",MATERIAL INFORMATICO NO INVENTARIABLE,500,753
927,41022103,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",COMBUSTIBLES Y CARBURANTES,6000,754
928,41022300,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",TRANSPORTES Y MENSAJERÍA,1200,755
929,41022502,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",TRIBUTOS VEHÍCULOS,2138,756
930,41022601,"AGRICULTURA, GANADERIA Y PESCA","ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA",ATENCIONES PROTOCOLARIAS Y REPRESENTANTIVAS,300,757
