ID,APLICACIÓN,AREA,SUB_ÁREA,DENOMINACIÓN,EUROS,FID
1348,45976201,INFRAESTRUCTURAS,OTRAS INFRAESTRUCTURAS,SUBV. AYUNTAMIENTOS FDCAN 2021,55000,856
1137,43212001,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUELDOS GRUPO A2,14274,857
1560,92612000,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,SUELDOS GRUPO A1,16366,858
1353,49112000,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,SUELDOS GRUPO A1,49098,859
1414,91222610,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,OTRAS ATENCIONES DE PRESIDENCIA,6000,860
1048,42022706,INDUSTRIA Y ENERGÍA,ADMINISTRACIÓN GENERAL DE INDUSTRIA Y ENERGÍA,ESTUDIOS Y TRABAJOS TÉCNICOS,25000,861
1138,43212003,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUELDOS GRUPO C1,10828,862
1561,92612006,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,TRIENIOS,5039,863
1354,49112004,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,SUELDOS GRUPO C2,9098,864
1415,91222611,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,ACTOS INSTITUCIONALES Y AYUDAS ACTOS MUNICIPALES,8000,865
1053,42221200,INDUSTRIA Y ENERGÍA,INDUSTRIA,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN EDIFICIOS Y OTRAS CONSTRUCCIONES",31029,866
1139,43212004,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUELDOS GRUPO C2,9098,867
1562,92612100,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,COMPLEMENTO DE DESTINO,12647,868
1355,49112006,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,TRIENIOS,3523,869
1416,91222613,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,ESCUDOS CABILDO INSULAR,200,870
1054,42222602,INDUSTRIA Y ENERGÍA,INDUSTRIA,PUBLICIDAD Y PROPAGANDA,2000,871
1190,43248904,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUBVENCIÓN ASOCIACIÓN T-ACTIVA LA PALMA PROMOCIÓN TURÍSTICA,5000,872
1272,45012005,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,SUELDOS GRUPO E,8333,873
1140,43212006,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,TRIENIOS,12497,874
1563,92612101,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,COMPLEMENTO ESPECÍFICO,18694,875
1356,49112100,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,COMPLEMENTO DE DESTINO,37127,876
1417,91222616,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,GASTOS DIVERSOS DE REPRESENTACIÓN DIFERENTES ÁREA,100,877
1055,42222707,INDUSTRIA Y ENERGÍA,INDUSTRIA,ASISTENCIA TÉCNICA INDUSTRIA,16000,878
1191,43248905,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUBVENCIÓN ASOCIACIONES EMPRESAS TURISMO RURAL ISLAS BONITA PROMOCIÓN TURÍSTICA,5000,879
1273,45012006,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,TRIENIOS,42053,880
1141,43212100,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,COMPLEMENTO DE DESTINO,56124,881
1564,92612103,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,OTROS COMPLEMENTOS,12028,882
1357,49112101,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,COMPLEMENTO ESPECÍFICO,48350,883
1418,91222706,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,ESTUDIOS Y TRABAJOS TÉCNICOS,12000,884
1419,91223000,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,DIETAS DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBIERNO,35000,885
1420,91223100,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,LOCOMOCIÓN DE LOS MIEMBROS DE LOS ÓRGANOS DE GOBI,30000,886
1421,91223300,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,OTRAS INDEMNIZACIONES TELEFONÍA,8640,887
1422,91223301,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,GASTOS TELEFONIA PERSONAL EVENTUAL,2700,888
1425,91248900,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,ASIGNACIONES A GRUPOS POLÍTICOS,266309,889
1426,91248901,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,OFRENDA A SAN MIGUEL. ÓRGANOS DE GOBIERNO,1200,890
1427,91248902,ORGANOS DE GOBIERNO,ORGANOS DE GOBIERNO,OFRENDA REAL SANTUARIO NTRA. SRA. DE LAS NIEVES. ORGANOS DE GOBIERNO,1200,891
1432,92012000,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"SUELDOS GRUPO A1 SECRETARÍA, VICESECRT Y REGIMEN JURÍDICO",212757,892
1433,92012003,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,SUELDOS GRUPO C1,10828,893
1434,92012004,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,SUELDOS GRUPO C2 ,109181,894
1435,92012005,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,SUELDOS GRUPO E ,41665,895
1436,92012006,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,TRIENIOS,55039,896
1437,92012100,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,COMPLEMENTO DE DESTINO ,262185,897
1438,92012101,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,COMPLEMENTO ESPECÍFICO,348706,898
1439,92012103,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,OTROS COMPLEMENTOS ,206708,899
1440,92013000,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO ,53049,900
1441,92013002,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"OTRAS REMUNERACIONES SECRETARÍA, VICESECRT Y REGÍMEN JURÍDICO ",77805,901
1442,92013100,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,RETRIBUCIONES PERSONAL LABORAL TEMPORAL,20768,902
1443,92014300,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,RETRIBUCIONES EJECUCION SENTENCIAS,55000,903
1444,92015000,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,PRODUCTIVIDAD ,6929,904
1445,92016000,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"SEGURIDAD SOCIAL SECRETARÍA, VICESECRT Y REGIMEN JURÍDICO",361898,905
1448,92020300,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"ARRENDAMIENTO DE MAQUINARIA, INSTALACIONES Y UTILLAJE",60000,906
1449,92020400,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,ARRENDAMIENTO VEHICULO PRESIDENCIA,19000,907
1450,92022000,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"MATERIAL DE OFICINA ADMON. GENERAL, SECRET. Y VICESECRT.",10500,908
1451,92022001,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",6750,909
1452,92022002,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,MATERIAL INFORMATICO NO INVENTARIABLE,9500,910
1453,92022003,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,MATERIAL FOTOCOPIADORAS Y OTROS,10000,911
1454,92022004,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,CUOTA ANUAL ARANZADI BASE DE DATOS,5000,912
1455,92022005,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,GESTOR DE EXPEDIENTES JUDICIALES,1000,913
1456,92022006,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,ADQUISICIÓN/ACTUALIZACIÓN DE APLICACIÓN DE PATRIMONIO PARA PROCESAMIENTO DE INFORMACIÓN,20000,914
1457,92022007,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,ADQUISICIÓN DE APLICACIÓN DE ARCHIVO Y EQUIPOS PARA PROCESAMIENTO DE INFORMACIÓN,10000,915
1458,92022008,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,CUOTAS ANUAL ES PUBLICO BASE DE DATOS,4500,916
1459,92022104,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,VESTUARIO,5000,917
1460,92022199,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,OTROS SUMINISTROS,1000,918
1461,92022201,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,POSTALES,62000,919
1462,92022300,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,TRANSPORTE Y MENSAJERÍAS,6300,920
1463,92022502,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,TRIBUTOS ENTIDADES LOCALES,1000,921
1464,92022602,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,PUBLICIDAD Y PROPAGANDA ,25000,922
1465,92022603,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,PUBLICACIONES EN DIARIOS OFICIALES,7700,923
1466,92022604,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,"JURÍDICOS, CONTENCIOSOS",75000,924
1467,92022607,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,OPOSICIONES Y PRUEBAS SELECTIVAS,6000,925
1468,92022610,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,GASTOS DIVERSOS DEPART. INVENT. Y ARCHIVO,3000,926
1469,92022611,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,GASTOS DIVERSOS VICE-SECRET. GRAL. Y ASESORÍA JDCA.,4000,927
1470,92022699,ADMINISTRACIÓN GENERAL,ADMINISTRACIÓN GENERAL,OTROS GASTOS DIVERSOS,14500,928
1192,43248906,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUBVENCIÓN ASOCIACIÓN CARAVANISTAS DE LA ISLA DE LA PALMA PROMOCIÓN TURÍSTICA ,4000,929
1274,45012100,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,COMPLEMENTO DE DESTINO,127681,930
1142,43212101,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,COMPLEMENTO ESPECÍFICO,79787,931
1275,45012101,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,COMPLEMENTO ESPECÍFICO,159163,932
1193,43248908,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUBV. AGAP PROMOCIÓN TURÍSTICA,4000,933
1358,49112103,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,OTROS COMPLEMENTOS,29750,934
1058,42244900,INDUSTRIA Y ENERGÍA,INDUSTRIA,APORTACIÓN SODEPAL CENTRO EMPRESARIAL E INDUSTRIAL LA PALMA,80000,935
1359,49113000,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,12413,936
1143,43212103,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,OTROS COMPLEMENTOS,47311,937
1276,45012103,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,OTROS COMPLEMENTOS,118036,938
1194,43248909,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,"CONVENIO COLABORACIÓN CIT TEDOTE PROYECTO ""PROMOCIÓN TURÍSTICA POST-COVID19 LA PALMA""",80000,939
1565,92613000,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,40684,940
1566,92613002,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,63874,941
1567,92615000,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,PRODUCTIVIDAD,749,942
1568,92616000,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,SEGURIDAD SOCIAL,40372,943
1571,92621600,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,MANTENIMIENTO DE HARDWARE Y SOFTWARE,100000,944
1572,92622002,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,MATERIAL INFORMÁTICO NO INVENTARIABLE ,15000,945
1573,92622706,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,PLAN DE MODERNIZACIÓN ADMINISTRATIVA FASE III ,60000,946
1576,92662600,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,"ADQUISICIÓN DE HARDWARE, SOFTWARE Y EQUIPOS DE COMUNICACIÓN",15000,947
1577,92662601,NUEVAS TECNOLGÍAS,COMUNICACIONES INTERNAS,PLAN DE MODERNIZACIÓN ADMINISTRATIVA FASE III,40000,948
1582,92712000,RECURSOS HUMANOS,RECURSOS HUMANOS,SUELDOS GRUPO A1,98196,949
1583,92712001,RECURSOS HUMANOS,RECURSOS HUMANOS,SUELDOS GRUPO A2,43452,950
1584,92712003,RECURSOS HUMANOS,RECURSOS HUMANOS,SUELDOS GRUPO C1,35930,951
1585,92712004,RECURSOS HUMANOS,RECURSOS HUMANOS,SUELDOS GRUPO C2,72787,952
1586,92712006,RECURSOS HUMANOS,RECURSOS HUMANOS,TRIENIOS,31097,953
1587,92712100,RECURSOS HUMANOS,RECURSOS HUMANOS,COMPLEMENTO DE DESTINO,157507,954
1588,92712101,RECURSOS HUMANOS,RECURSOS HUMANOS,COMPLEMENTO ESPECÍFICO,200435,955
1589,92712103,RECURSOS HUMANOS,RECURSOS HUMANOS, OTROS COMPLEMENTOS,130546,956
1590,92713000,RECURSOS HUMANOS,RECURSOS HUMANOS, RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,32175,957
1144,43213000,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,133700,958
1591,92713002,RECURSOS HUMANOS,RECURSOS HUMANOS, OTRAS REMUNERACIONES PERSONAL LABORLA FIJO,53916,959
1360,49113002,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,19921,960
1061,42262200,INDUSTRIA Y ENERGÍA,INDUSTRIA,INVERSIONES DE TELECOMUNICACIONES Y CÁMARAS DE VIGILANCIA,65000,961
1145,43213002,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,OTRAS REMUNERACIONES,216951,962
1592,92715000,RECURSOS HUMANOS,RECURSOS HUMANOS,PRODUCTIVIDAD,4120,963
1361,49115000,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,PRODUCTIVIDAD,936,964
1062,42262700,INDUSTRIA Y ENERGÍA,INDUSTRIA,OBRAS DE BAJA TENSIÓN EN EL CEIP,62000,965
1197,43262500,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,MOBILIARIO Y ENSERES,2500,966
1146,43215000,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,PRODUCTIVIDAD,3184,967
1593,92716000,RECURSOS HUMANOS,RECURSOS HUMANOS,SEGURIDAD SOCIAL,273754,968
1362,49116000,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,SEGURIDAD SOCIAL,55750,969
1198,43262600,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,EQUIPOS PARA PROCESOS DE INFORMACION,1000,970
1063,42262701,INDUSTRIA Y ENERGÍA,INDUSTRIA,ACCESIBILIDAD EN EL CEIP,19000,971
1064,42262702,INDUSTRIA Y ENERGÍA,INDUSTRIA,INVERSIONES CEIP,10000,972
1069,42522601,INDUSTRIA Y ENERGÍA,ENERGÍA,CONSEJO INSULAR DE LA ENERGIA,2000,973
1070,42522602,INDUSTRIA Y ENERGÍA,ENERGÍA,PUBLICIDAD Y PROPAGANDA,3000,974
1071,42522606,INDUSTRIA Y ENERGÍA,ENERGÍA,JORNADAS POLÍTICA Y ENERGÍA,10000,975
1074,42548900,INDUSTRIA Y ENERGÍA,ENERGÍA,SUBV. ASOCIACIÓN SOCIOAMBIENTAL LA PALMA RENOVABLE EFICIENCIA ENERGETICA,120000,976
1078,42562700,INDUSTRIA Y ENERGÍA,ENERGÍA,INVERSIONES EFICIENCIA ENÉRGETICA,15000,977
1081,42577000,INDUSTRIA Y ENERGÍA,ENERGÍA,SUBV. FOMENTO AUTOCONSUMO ENERGÉTICO EMPRESAS,100000,978
1082,42577901,INDUSTRIA Y ENERGÍA,ENERGÍA,SUBV. TAXIS ELÉCTRICOS O HIBRIDOS ENCHUFABLES,40000,979
1083,42578900,INDUSTRIA Y ENERGÍA,ENERGÍA,SUBV. FOMENTO AUTOCONSUMO ENERGÉTICO VIVIENDAS,230000,980
1088,42612000,ARTESANÍA,ARTESANÍA,SUELDOS GRUPO A1,16366,981
1089,42612004,ARTESANÍA,ARTESANÍA,SUELDOS GRUPO C2,9098,982
1090,42612006,ARTESANÍA,ARTESANÍA,TRIENIOS,7761,983
1091,42612100,ARTESANÍA,ARTESANÍA,COMPLEMENTO DE DESTINO,18304,984
1092,42612101,ARTESANÍA,ARTESANÍA,COMPLEMENTO ESPECÍFICO,25061,985
1093,42612103,ARTESANÍA,ARTESANÍA,OTROS COMPLEMENTOS,17572,986
1094,42613000,ARTESANÍA,ARTESANÍA,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,22280,987
1095,42613002,ARTESANÍA,ARTESANÍA,OTRAS REMUNERACIONES,34038,988
1096,42615000,ARTESANÍA,ARTESANÍA,PRODUCTIVIDAD,749,989
1097,42616000,ARTESANÍA,ARTESANÍA,SEGURIDAD SOCIAL,38165,990
1100,42622000,ARTESANÍA,ARTESANÍA,MATERIAL DE OFICINA,1000,991
1101,42622114,ARTESANÍA,ARTESANÍA,MATERIAL TÉCNICO Y DECORACIÓN ESCUELA Y CENTROS DE VENTA,100,992
1102,42622602,ARTESANÍA,ARTESANÍA,PUBLICIDAD Y PROPAGANDA CENTROS DE VENTA,2000,993
1103,42622606,ARTESANÍA,ARTESANÍA,CURSOS,20000,994
1104,42622610,ARTESANÍA,ARTESANÍA,FERIA INSULAR DE ARTESANÍA Y ALIMENTACIÓN,132000,995
1105,42622611,ARTESANÍA,ARTESANÍA,ACTIVIDADES DIVERSAS,15062,996
1106,42622612,ARTESANÍA,ARTESANÍA,FERIA REGIONAL DE ARTESANÍA Y OTROS EVENTOS,15000,997
1107,42622707,ARTESANÍA,ARTESANÍA,PUBLICACIONES ARTESANÍA,4000,998
1110,42644900,ARTESANÍA,ARTESANÍA,APORTACIÓN SODEPAL PROYECTO LA PALMA ARTESANÍA ,90000,999
1111,42646200,ARTESANÍA,ARTESANÍA,SUBV. AYTO. EL PASO GEST. MUSEO SEDA ,30855,1000
1112,42647300,ARTESANÍA,ARTESANÍA,SUBVENCIÓN HILANDERAS EL PASO GASTOS CORRIENTES,1000,1001
1113,42647301,ARTESANÍA,ARTESANÍA,SUBV. GASTOS CORRIENTES ARTESANOS LA PALMA,20000,1002
1116,42662201,ARTESANÍA,ARTESANÍA,EQUIPAMIENTO FERIA INSULAR,10000,1003
1117,42662500,ARTESANÍA,ARTESANÍA,EQUIPAMIENTO CENTROS DE VENTA ARTESANÍA,49001,1004
1118,42662502,ARTESANÍA,ARTESANÍA,EQUIPAMIENTO CARPA Y OTROS,30000,1005
1119,42662700,ARTESANÍA,ARTESANÍA,OBRAS CENTRO DE VENTA DE ARTESANÍA Y ESCUELA INSULAR DE ARTESANÍA,1000,1006
1124,43122613,COMERCIO,COMERCIO,"PROGRAMA EUROPEO DESTINOS GASTRONÓMICOS SOSTENIBLES ""INTERREG MAC""",176779,1007
1127,43148901,COMERCIO,COMERCIO,SUBV. FEDERACIÓN EMPRESARIOS (FEDEPALMA) IMPULSO EMPRESARIAL A LA PYMES PALMERAS,38000,1008
1128,43148902,COMERCIO,COMERCIO,SUBV. FEDERACIÓN EMPRESAS (FAEP) INMERSION DIGITAL DE LAS PYMES PALMERAS,38000,1009
1129,43148903,COMERCIO,COMERCIO,SUBV. PROMOCIÓN EXTERNA FIRMAS DE MODA LA PALMA,45000,1010
1130,43148904,COMERCIO,COMERCIO,SUBV. CÁMARA DE COMERCIO: PLAN DE PROMOCIÓN Y MEJORA COMPETITIVIDAD DE LAS PYMES PALMERAS,38000,1011
1131,43148905,COMERCIO,COMERCIO,SUBV. CAMARA DE COMERCIO PROMOCIÓN Y DINAMIZACIÓN ZZCCAA,160000,1012
1199,43262700,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,TEMATIZACIÓN DEL CENTRO DE VISITANTES DEL ROQUE DE LOS MUCHACHOS FDCAN 2020,1750000,1013
1277,45013000,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,391983,1014
1365,49120600,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,ACTUALIZACIÓN CARTOGRÁFICA,25000,1015
1147,43216000,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SEGURIDAD SOCIAL,186146,1016
1594,92716200,RECURSOS HUMANOS,RECURSOS HUMANOS,FORMACIÓN PERSONAL,20000,1017
1150,43221600,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,MATERIAL INFORMÁTICO ,2000,1018
1597,92722000,RECURSOS HUMANOS,RECURSOS HUMANOS,MATERIAL DE OFICINA RRHH,2500,1019
1598,92722001,RECURSOS HUMANOS,RECURSOS HUMANOS,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES",1000,1020
1599,92722002,RECURSOS HUMANOS,RECURSOS HUMANOS,PROGRAMAS Y SERVICIOS INFORMÁTICOS,3739,1021
1600,92722300,RECURSOS HUMANOS,RECURSOS HUMANOS,TRANSPORTES Y MENSAJERIA,200,1022
1601,92722610,RECURSOS HUMANOS,RECURSOS HUMANOS,"MEDIDAS DE PREVENCIÓN, CONTENCIÓN Y COORDINACIÓN COVID 19",85239,1023
1602,92722706,RECURSOS HUMANOS,RECURSOS HUMANOS,PREVENCIÓN RIESGOS LABORALES Y OTRAS,20000,1024
1603,92722707,RECURSOS HUMANOS,RECURSOS HUMANOS,ESTUDIOS Y TRABAJOS TÉCNICOS,10000,1025
1606,92762500,RECURSOS HUMANOS,RECURSOS HUMANOS,MOBILIARIO,1200,1026
1607,92762600,RECURSOS HUMANOS,RECURSOS HUMANOS,ADQUISICIÓN DE EQUIPOS DE PROCESO DE INFORMACIÓN,1300,1027
1608,92762900,RECURSOS HUMANOS,RECURSOS HUMANOS,ADQUISICIÓN DE MATERIAL UNIDAD DE PREVENCIÓN RIESGO LABORALES,2200,1028
1613,92812000,CONTRATACIÓN,CONTRATACIÓN,SUELDOS GRUPO A1,49098,1029
1614,92812001,CONTRATACIÓN,CONTRATACIÓN,SUELDOS GRUPO A2,14274,1030
1615,92812004,CONTRATACIÓN,CONTRATACIÓN,SUELDOS GRUPO C2,45492,1031
1616,92812006,CONTRATACIÓN,CONTRATACIÓN,TRIENIOS,18002,1032
1617,92812100,CONTRATACIÓN,CONTRATACIÓN,COMPLEMENTO DE DESTINO,73513,1033
1618,92812101,CONTRATACIÓN,CONTRATACIÓN,COMPLEMENTO ESPECÍFICO,97232,1034
1619,92812103,CONTRATACIÓN,CONTRATACIÓN,OTROS COMPLEMENTOS,60515,1035
1620,92815000,CONTRATACIÓN,CONTRATACIÓN,PRODUCTIVIDAD,1873,1036
1621,92816000,CONTRATACIÓN,CONTRATACIÓN,SEGURIDAD SOCIAL,115296,1037
1624,92822000,CONTRATACIÓN,CONTRATACIÓN,MATERIAL DE OFICINA,1000,1038
1625,92822001,CONTRATACIÓN,CONTRATACIÓN,"PRENSA, LIBROS, REVISTAS Y OTRAS PUBLICACIONES",1000,1039
1626,92822002,CONTRATACIÓN,CONTRATACIÓN,LICENCIA DE USO PLATAFORMA CONTRATOS DEL CABILDO,22000,1040
1366,49121400,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,MANTENIMIENTO VEHICULO ELECTRICO,2000,1041
1151,43221700,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,MANTENIMIENTO WEB TURISMO LA PALMA,6000,1042
1278,45013002,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,OTRAS REMUNERACIONES,586173,1043
1200,43262702,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,CENTRO DE APOYO AMBIENTAL Y RECREATIVO DE MENDO FDCAN 2020,654455,1044
1367,49121700,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,MANTENIMIENTO DE LA APLICACIÓN MÓVIL (APP),5000,1045
1201,43262705,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,CASETA PORTATIL ASTRONÓMICA ,100449,1046
1368,49121900,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,MANTENIMIENTO DE LA RED DE TELECOMUNICACIONES,60000,1047
1204,43276200,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,SUBV. AYTO. DE BREÑA BAJA ACTUACIÓN DE LA MEJORA Y EQUIPAMIENTO PARA LA PLAYA DEL VARADERO,100068,1048
1152,43221900,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,REPARACIÓN Y MANTENIMIENTO PANELES,10000,1049
1369,49121901,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,MANTENIMIENTO DE LA RED DE LOS SENSORES,15000,1050
1279,45015000,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,PRODUCTIVIDAD,10862,1051
1209,43922610,OTRAS ACTUACIONES SECTORIALES,OTRAS ACTUACIONES SECTORIALES,CONVENIO COLABORACIÓN PROEXCA,5000,1052
1153,43222000,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,MATERIAL DE OFICINA,2000,1053
1370,49122000,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,MATERIAL OFICINA,3000,1054
1280,45016000,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,SEGURIDAD SOCIAL,564282,1055
1212,43944900,OTRAS ACTUACIONES SECTORIALES,OTRAS ACTUACIONES SECTORIALES,APORTACIÓN SODEPAL ORGANIZACIÓN Y EJECUCIÓN ISLA BONITA LOVE FESTIVAL,350000,1056
1154,43222001,TURISMO,ORDENACIÓN Y PROMOCIÓN TURÍSTICA,PRENSA REVISTAS Y PUBLICACIONES,200,1057
1371,49122002,INNOVACION,SOCIEDAD DE LA INFORMACIÓN,MATERIAL INFORMATICO NO INVENTARIABLE,40000,1058
1283,45021600,INFRAESTRUCTURAS,ADMINISTRACIÓN GENERAL DE INFRAESTRUCTURA,REPARACIÓN Y MANTENIMIENTO DE EQUIPOS INFORMÁTICOS,3200,1059
