"APLICACIÓN PRESUP.";"AREA";"DENOMINACIÓN";"EURO"
34144900;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"APORTACIÓN SODEPAL: TRANSVULCANIA 2017";420000,00
34144902;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"APORTACIÓN SODEPAL: FESTIVAL DE SENDERISMO";45000,00
34144903;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"APORTACIÓN SODEPAL: LA PALMA ECUESTRE ";30000,00
34144904;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"APORTACIÓN SODEPAL: ULTRABIKE LA PALMA";30000,00
34146200;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"PLAN PROMOCIÓN DEPORTIVA BÁSICA MONITORES";343818,90
34146201;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"PLAN PROMOCIÓN DEPORTIVA COLECTIVOS ATENCIÓN ESPECIAL";28000,00
34146202;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"PROMOCIÓN DEPORTIVA BÁSICA MATERIAL DEPORTIVO";22062,58
34146203;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"PROMOCIÓN DEPORTIVA BÁSICA INDUMENTARIA DEPORTIVA";30368,52
34146204;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBVENCIÓN EVENTOS DEPORTIVOS AYUNTAMIENTOS";50000,00
34148900;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBVENCIONES AYUDAS AL DEPORTE";235000,00
34148901;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO ASOC. AMIGOS DEL DOMINÓ DE LA PALMA. LIGA INSULAR";3000,00
34148902;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB DE ARRASTRE LA CANGA. LIGA INSULAR";12000,00
34148903;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB AUARITA VIVA PROMOCIÓN Y TECNIFICACIÓN VOLEY";2500,00
34148904;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FEDERACIÓN INSULAR DE BALONCESTO PROMOC. Y TECNIFICACIÓN";42000,00
34148909;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FEDERACIÓN INSULAR LUCHA CANARIA PROMOC. Y TECNIFICACIÓN";44200,00
34148910;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FED. CANARIA PALO CANARIO III FASE PLAN ESPECIAL PALO GARAFIANO";2000,00
34148911;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FEDERACIÓN INSULAR DE AUTOMOVILISMO PROMOCIÓN Y TECNIFICACIÓN";42000,00
34148916;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO ASOC. AMIGOS PARA PRÁCTICA Y DIF. FÚTBOL SALA PROMOCIÓN Y TECNIFICACIÓN";10000,00
34148918;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB BADMINTON LA PALMA DROP PROMOCIÓN Y TECNIFICACIÓN";2500,00
34148919;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBVENCIONES DEPORTISTAS PALMEROS DE ÉLITE Y ENTRENADORES";30000,00
34148922;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB JUVENTUD TENIS MESA DESPLAZAMIENTO";900,00
34148923;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB BALONCESTO DOGUEN DESPLAZAMIENTO";2500,00
34148924;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB. DEP. TARSA AYUDA DESPLAZAMIENTO";4400,00
34148925;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB T.M. DEFENSE AYUDA DESPLAZAMIENTO";1800,00
34148926;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB TD. TEMESPIN AYUDA DESPLAZAMIENTO";900,00
34148927;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. SOC. DEP. ATLANTIDA AYUDA DESPLAZAMIENTO";3500,00
34148928;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. SOC. DEPORTIVA TENISCA AYUDA DESPLAZAMIENTO (3ª DIV.)";7800,00
34148929;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB BALONCESTO ROQUE ADAMEN AYUDA DESPLAZAMIENTO";2600,00
34148930;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB BALONC. ARIDANE AYUDA DESPLAZAMIENTO";3500,00
34148940;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FEDERACIÓN TINERFEÑA FUTBOL.PROMOCIÓN Y TECNIFICACIÓN";42000,00
34148943;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB BALONC. FELIPE ANTON DESPLAZAMIENTO";2600,00
34148944;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FEDERACIÓN TENIS DE MESA  PROMOCIÓN Y TECNIFICACIÓN ";14100,00
34148945;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO SALTO PASTOR JURRIA TENERRA  PROMOCIÓN Y TECNIFICACIÓN";3000,00
34148946;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FEDERACIÓN JUDO  PROMOCIÓN Y TECNIFICACIÓN";3000,00
34148947;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FEDERACIÓN GIMNASIA RITMICA  PROMOCIÓN Y TECNIFICACIÓN";3000,00
34148948;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CLUB BALONCESTO DOMINICAS LA PALMA DESPLAZAMIENTO";4600,00
34148949;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. PROYECTO DEPORTE INTEGRACIÓN DISCAPACIDAD";5000,00
34148950;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"CONVENIO FEDERACIÓN AJEDREZ PROMOCIÓN Y TECNIFICACIÓN";32000,00
34148951;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. EVENTOS DEPORTIVOS ENTIDADES PRIVADAS";30000,00
34148952;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. ASOC. CANARIAS DE JUEGOS DE ESTRATEGÍA ACAJES OLIMPIADAS MENTALES, PROMOCIÓN Y TECNIFICACIÓN";6000,00
34148953;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"SUBV. CENTRO INSULAR AJEDREZ TORNEO INTERNACIONAL AJEDREZ";10000,00
34162700;"PROMOCIÓN Y FOMENTO DEL DEPORTE";"INVERSIONES VELA";9000,00
34221201;"INSTALACIONES DEPORTIVAS";"MANTENIMIENTO CAMPOS DE FÚTBOL";15000,00
34221400;"INSTALACIONES DEPORTIVAS";"MANTENIMIENTO DE VEHÍCULOS Y MAQUINARIA";2000,00
34221600;"INSTALACIONES DEPORTIVAS";"MANTENIMIENTO EQUIPOS PROCESO DE INFORMACIÓN";1000,00
34222100;"INSTALACIONES DEPORTIVAS";"ENERGÍA ELÉCTRICA CIUDAD DEPORTIVA MIRAFLORES";20000,00
34222101;"INSTALACIONES DEPORTIVAS";"AGUA";7100,00
34235800;"INSTALACIONES DEPORTIVAS";"INTERESES POR OPERACIONES ARRENDAMIENTO FINANCIERO";500,00
34262500;"INSTALACIONES DEPORTIVAS";"ADQUISICIÓN MOBILIARIO Y ENSERES";2000,00
34262701;"INSTALACIONES DEPORTIVAS";"OBRAS MIRAFLORES";280000,00
34262702;"INSTALACIONES DEPORTIVAS";"INVERSIONES DEPORTES";40000,00
34263600;"INSTALACIONES DEPORTIVAS";"ADQUISICIÓN EQUIPOS INFORMÁTICOS";1000,00
34264100;"INSTALACIONES DEPORTIVAS";"GASTOS EN APLICACIONES INFORMÁTICAS";5000,00
34264800;"INSTALACIONES DEPORTIVAS";"CUOTAS LEASING VEHÍCULOS DEPORTES";4000,00
34276203;"INSTALACIONES DEPORTIVAS";"SUBV. AYTO. EL PASO CENTRO LÚDICO DEPORTIVO LAS MANCHAS";33000,00
41012000;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"SUELDOS GRUPO A1";45695,14
41012001;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"SUELDOS GRUPO A2";172700,85
41012003;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"SUELDOS GRUPO C1";20155,17
41012004;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"SUELDOS GRUPO C2";135483,26
41012005;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"SUELDOS GRUPO E";15510,88
41012006;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"TRIENIOS";79760,11
41012100;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"COMPLEMENTO DE DESTINO";250128,90
41012101;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"COMPLEMENTO ESPECÍFICO";314065,64
41012103;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"OTROS COMPLEMENTOS";217273,55
41013000;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO";225392,27
41013002;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"OTRAS REMUNERACIONES";342717,71
41013100;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"LABORAL TEMPORAL";75000,00
41015000;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"PRODUCTIVIDAD";10674,96
41016000;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"SEGURIDAD SOCIAL";521977,44
41020400;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"ARRENDAMIENTO ELEMENTO DE TRANSPORTE";7135,00
41021400;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"MATERIAL DE TRANSPORTE Y REPARACIÓN";3000,00
41022000;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"MATERIAL DE OFICINA AGRICULTURA";3000,00
41022001;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"LIBROS, REVISTAS, PRENSA Y OTRAS PUBLICACIONES";500,00
41022103;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"COMBUSTIBLES Y CARBURANTES";6000,00
41022300;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"TRANSPORTES Y MENSAJERÍA";1200,00
41022502;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"TRIBUTOS VEHÍCULOS";2138,00
41022601;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"ATENCIONES PROTOCOLARIAS Y REPRESENTANTIVAS";500,00
41022602;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"PUBLICIDAD Y PROPAGANDA AGRICULTURA/GANADERIA Y PESCA";18000,00
41022603;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"PUBLICACIÓN EN DIARIOS OFICIALES";1000,00
41022606;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"SEMINARIOS/ SERVICIO AGRIC./GAN./PESCA";2000,00
41022610;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"AGRICULTURA CUOTA ADER";601,00
41022611;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"FERIAS AGRARIAS, PESQUERAS Y GANADERAS";9000,00
41022612;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"PROMOCIÓN GASTRONÓMICA DE PRODUCTOS DE LA PALMA";20000,00
41022706;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"PRESTACIÓN SERVICIOS";50027,00
41022709;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"MANTENIMIENTO JARDINES DEPENDENCIAS AGRICULTURA";4815,00
41062500;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"MOBILIARIO Y ENSERES ";3000,00
41062700;"ADMINISTRACIÓN GENERAL DE AGRICULTURA, GANADERIA Y PESCA";"OTRAS INVERSIONES";3000,00
41248900;"MEJORAS DE LAS ESTRUCTURAS AGROPECUARIAS Y DE LOS SISTEMAS PRODUCTIVOS";"CONVENIO ADER SISTEMA PILOTO COMPOSTAJE";21560,00
41262704;"MEJORAS DE LAS ESTRUCTURAS AGROPECUARIAS Y DE LOS SISTEMAS PRODUCTIVOS";"OTRAS INVERSIONES";30000,00
41278901;"MEJORAS DE LAS ESTRUCTURAS AGROPECUARIAS Y DE LOS SISTEMAS PRODUCTIVOS";"CONVENIO ADER SISTEMA PILOTO COMPOSTAJE";43440,00
41321300;"GANADERÍA";"REPARACIÓN MAQUINARIA GANADERÍA";1000,00
41322104;"GANADERÍA";"VESTUARIO";500,00
41322105;"GANADERÍA";"PIENSOS ALIMENTACIÓN GANADO";36032,00
41322106;"GANADERÍA";"PRODUCTOS FARMACÉUTICOS GANADERÍA";500,00
41322107;"GANADERÍA";"SEMILLAS GANADERÍA";500,00
41322699;"GANADERÍA";"OTROS GASTOS DIVERSOS FINCA EXPERIMENTAL";6000,00
41322709;"GANADERÍA";"CONVENIO ISONORTE COMPOSTAJE FINCA";18000,00
41346200;"GANADERÍA";"SUBVENCIÓN AYTO. BREÑA ALTA FERIA GANADERA";2500,00
41346201;"GANADERÍA";"SUBVENCIÓN AYTO. GARAFÍA FERIA GANADERA";2500,00
41346202;"GANADERÍA";"SUBVENCIÓN AYTO. LOS LLANOS DE ARIDANE FERIA GANADERA";2500,00
41346203;"GANADERÍA";"SUBVENCIÓN AYTO. PUNTALLANA FERIA GANADERA";2500,00
41346204;"GANADERÍA";"SUBVENCIÓN AYTO. EL PASO FERIA GANADERA";2500,00
41348900;"GANADERÍA";"CONVENIO AVAPAL CENTRO TESTAJE";25000,00
41363200;"GANADERÍA";"OBRAS FINCA Y ADQUISIC. MAQUIN.";10000,00
41448903;"DESARROLLO RURAL";"SUBVENCIÓN ADER GASTOS DE FUNCIONAMIENTO";115000,00
41478900;"DESARROLLO RURAL";"SUBVENCIÓN ADER INVERSIÓN";50000,00
41621300;"LABORATORIO";"REPARACIÓN MAQUINARIA";1800,00
41622104;"LABORATORIO";"VESTUARIO";100,00
41622107;"LABORATORIO";"MATERIAL TÉCNICO LABORATORIO";5000,00
41642500;"LABORATORIO";"CONV. CONSEJO SUPERIOR INVESTIG. CIENTÍFICAS INVESTIG AGRICULTURA SOSTENIBLE";80000,00
41662300;"LABORATORIO";"ADQUISICIÓN DE MAQUINARIA Y OBRAS";5000,00
41720300;"CENTRAL HORTOFRUTÍCOLA";"ARRENDAMIENTOS DE MAQUINARIA, INSTAL. Y UTILLAJE";100,00
41721200;"CENTRAL HORTOFRUTÍCOLA";"CONSERVACIÓN Y REPARACIÓN EDIFICIOS";6000,00
41721300;"CENTRAL HORTOFRUTÍCOLA";"CONSERVACIÓN Y REPARACIÓN MAQUINARIA";11000,00
41722104;"CENTRAL HORTOFRUTÍCOLA";"VESTUARIO";1000,00
41722199;"CENTRAL HORTOFRUTÍCOLA";"SUMINISTROS VARIOS";7000,00
41722300;"CENTRAL HORTOFRUTÍCOLA";"CENTRAL TRANSPORTES";1500,00
41722400;"CENTRAL HORTOFRUTÍCOLA";"PRIMA SEGURO";3204,00
41722699;"CENTRAL HORTOFRUTÍCOLA";"GASTOS DIVERSOS CENTRAL";2500,00
41762700;"CENTRAL HORTOFRUTÍCOLA";"INVERSIONES CENTRAL HORTOFRUTÍCOLA";35000,00
41922108;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"CAMPAÑA DESRATIZACIÓN Y CONTROL DE PLAGAS";70000,00
41922709;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SERVICIO PARTES METEOROLÓGICOS Y CONTROL PLAGAS";1000,00
41944900;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"APORTACIÓN SODEPAL PROYECTO CENTRO AGRODIVERSIDAD";65692,49
41944901;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"APORTACIÓN SODEPAL PROYECTO MARÍTIMO PESQUERO";110937,34
41944902;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"APORTACIÓN SODEPAL PROYECTO PLANIFICACIÓN Y COMERCIALIZACIÓN";335948,73
41947904;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SUBVENCIÓN CONSEJO REGULADOR DEL VINO PROMOCIÓN VINOS";20000,00
41948800;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"APORTACIÓN FUNDACIÓN ALHÓNDIGA";1500,00
41948900;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SUBVENCIONES AGR. GAN. Y PESCA";345000,00
41948902;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"APORTACIÓN CENTRO I. DE AGRICULTURA BIOLÓGICA";39973,00
41948903;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SUBV. COFRADIA PESCADORES NTA. SRA. DEL CARMEN GASTOS FUNCIONAMIENTO";23500,00
41948904;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SUBV. COFRADIA PESCADORES NTRA. SRA. DE LAS NIEVES GASTOS FUNCIONAMIENTO";23500,00
41948905;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SUBV. CONSEJO REGULADOR D.O. DEL QUESO PALMERO GASTOS FUNCIONAMIENTO";25000,00
41948906;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SUBV. CONSEJO REGULADOR D.O. VINOS DE LA PALMA GASTOS FUNCIONAMIENTO";25000,00
41948907;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SUBV. ASOC. AGROGANADERA EL FRESCAL PARA TRILLADO DE CEREAL";3000,00
41978900;"OTRAS ACTUACIONES EN AGRICULTURA,GANADERÍA Y PESCA";"SUBVENCIONES/CONVENIOS AGR. GAN. Y PESCA";80000,00
42022001;"ADMINISTRACIÓN GENERAL DE INDUSTRIA Y ENERGÍA";"LIBROS, PRENSA, REVISTAS Y OTRAS COMUNICACIONES";95,00
42022300;"ADMINISTRACIÓN GENERAL DE INDUSTRIA Y ENERGÍA";"TRANSPORTES Y MENSAJERÍA";237,00
42022706;"ADMINISTRACIÓN GENERAL DE INDUSTRIA Y ENERGÍA";"ESTUDIOS Y TRABAJOS TÉCNICOS";20000,00
42022699;"ADMINISTRACIÓN GENERAL DE INDUSTRIA Y ENERGÍA";"GASTOS DIVERSOS";807,50
42222602;"INDUSTRIA";"PUBLICIDAD Y PROPAGANDA";1000,00
42222706;"INDUSTRIA";"ESTUDIOS Y PROYECTOS INDUSTRIALES";3000,00
42222707;"INDUSTRIA";"ASISTENCIA TÉCNICA INDUSTRIA";12000,00
42222710;"INDUSTRIA";"CONVENIO ENCOMIENDA SODEPAL: CENTRO EMPRESARIAL E INDUSTRIAL LA PALMA";168298,68
42262700;"INDUSTRIA";"OBRAS EN ZONAS INDUSTRIALES";75000,00
42562700;"ENERGÍA";"INVERSIONES EFICIENCIA ENÉRGETICA";599998,00
42578900;"ENERGÍA";"SUBV. FOMENTO AUTOCONSUMO ENERGÉTICO";140000,00
42612000;"ARTESANÍA";"SUELDOS GRUPO A1";15231,71
42612004;"ARTESANÍA";"SUELDOS GRUPO C2";8467,70
42612006;"ARTESANÍA";"TRIENIOS";7548,63
42612100;"ARTESANÍA";"COMPLEMENTO DE DESTINO";18963,00
42612101;"ARTESANÍA";"COMPLEMENTO ESPECÍFICO";23324,28
42612103;"ARTESANÍA";"OTROS COMPLEMENTOS";16639,46
42613000;"ARTESANÍA";"RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO";10238,29
42613002;"ARTESANÍA";"OTRAS REMUNERACIONES";15738,53
42615000;"ARTESANÍA";"PRODUCTIVIDAD";561,84
42616000;"ARTESANÍA";"SEGURIDAD SOCIAL";38165,00
42622000;"ARTESANÍA";"MATERIAL DE OFICINA";1000,00
42622114;"ARTESANÍA";"MATERIAL TÉCNICO Y DECORACIÓN ESCUELA";460,00
42622300;"ARTESANÍA";"TRANSPORTE DOCUMENTOS";400,00
42622602;"ARTESANÍA";"PUBLICIDAD Y PROPAGANDA CENTROS DE VENTA";600,00
42622606;"ARTESANÍA";"CURSOS";6000,00
42622610;"ARTESANÍA";"FERIA INSULAR DE ARTESANÍA Y ALIMENTACIÓN";75000,00
42622611;"ARTESANÍA";"ACTIVIDADES DIVERSAS";8000,00
42622612;"ARTESANÍA";"FERIA REGIONAL DE ARTESANÍA Y OTROS EVENTOS";9000,00
42622707;"ARTESANÍA";"PUBLICACIONES ARTESANÍA";525,00
42623020;"ARTESANÍA";"DIETAS DEL PERSONAL";600,00
42623120;"ARTESANÍA";"LOCOMOCIÓN DEL PERSONAL";450,00
42644900;"ARTESANÍA";"SUBV. SODEPAL PROYECTO LA PALMA ARTESANÍA ";42000,00
42646200;"ARTESANÍA";"SUBV. AYTO. EL PASO GEST. MUSEO SEDA ";30855,36
42647300;"ARTESANÍA";"SUBVENCIÓN HILANDERAS EL PASO GASTOS CORRIENTES";4000,00
42647301;"ARTESANÍA";"SUBV. GASTOS CORRIENTES ARTESANOS LA PALMA";6000,00
42648900;"ARTESANÍA";"SUBV. ASISTENCIAS A FERIAS FUERA DEL ÁMBITO DE CANARIAS";2500,00
42662201;"ARTESANÍA";"EQUIPAMIENTO FERIA INSULAR";5000,00
42662500;"ARTESANÍA";"EQUIPAMIENTO CENTROS DE VENTA ARTESANÍA";3000,00
42662502;"ARTESANÍA";"EQUIPAMIENTO CARPA";3000,00
43146200;"COMERCIO";"APORTAC. AYTOS. CAMPAÑA DE NAVIDAD";12000,00
43147304;"COMERCIO";"APORTAC. A FEDERACIONES DE COMERCIANTES Y EMPRESARIOS PARA DINAMIZACIÓN SOCIOECONÓMICA ";46200,00
43148900;"COMERCIO";"SUBV. ASOC. COMERCIANTES-EMPRESARIOS GASTOS FUNCIONAMIENTO";25000,00
43165000;"COMERCIO";"ACONDICIONAMIENTO MOBILIARIO URBANO AVDA. VENEZUELA (LOS LLANOS DE ARIDANE)";18000,00
43177000;"COMERCIO";"CONVENIO CÁMARA DE COMERCIO, INDUSTRIA Y NAVEGACIÓN, VIVERO DE EMPRESAS";7215,00
43212000;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"SUELDOS GRUPO A1";45695,14
43212001;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"SUELDOS GRUPO A2";13284,68
43212003;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"SUELDOS GRUPO C1";10077,59
43212004;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"SUELDOS GRUPO C2";8467,70
43212006;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"TRIENIOS";14960,13
43212100;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"COMPLEMENTO DE DESTINO";52233,02
43212101;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"COMPLEMENTO ESPECÍFICO";74982,04
43212103;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"OTROS COMPLEMENTOS";46808,94
43213000;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO";120017,32
43213002;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"OTRAS REMUNERACIONES";198426,40
43215000;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"PRODUCTIVIDAD";3183,76
43216000;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"SEGURIDAD SOCIAL";163389,52
43220200;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"ARRENDAMIENTO PUNTO INFORMC. AEROPUERTO";2000,00
43221600;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"MATERIAL INFORMÁTICO ";2000,00
43221900;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"REPARACIÓN Y MANTENIMIENTO PANELES";2000,00
43222000;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"MATERIAL DE OFICINA";1300,00
43222001;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"PRENSA REVISTAS Y PUBLICACIONES";200,00
43222002;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"SERVICIOS DE TELECOMUNICACIONES";2350,00
43222003;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"COMUNICACIONES INFORMÁTICAS";1500,00
43222300;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"TRANSPORTES Y MENSAJERÍA";20352,26
43222400;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"POLIZA DE SEGURO";1500,00
43222602;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"PUBLICIDAD Y PROPAGANDA";200000,00
43222603;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"PUBLICACIONES EN DIARIOS OFICIALES";300,00
43222606;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"REUNIONES, CURSOS Y CONFERENCIAS";5000,00
43222608;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"ACCIONES PROMOCIÓN TURISMO VOLCANES, ESTRELLAS";25000,00
43222609;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"PROGRAMAS EUROPEOS ASTROTURISMO Y CONTAMINACIÓN LUMÍNICA";50000,00
43222610;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"ACCIONES DE PROMOCIÓN TURISMO OCIO ACTIVO";20000,00
43222632;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"CONTRATO PATROCINIO TRAVESÍA A NADO";20000,00
43222691;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"OTROS CONTRATOS DE PROMOCIÓN TURÍSTICA";15000,00
43222692;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"CONTRATO PATROCINIO MENSAJERO CLUB DE FUTBOL";30800,00
43222693;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"CONTRATO PATROCINIO DE FESTIVALITO";27000,00
43222694;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"CONTRATO PATROCINIO ACAPO FESTIVAL DE MÚSICA 2017";47300,00
43222695;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"CONTRATO PATROCINIO ACAPO FESTIVAL DE MÚSICA 2018";30000,00
43222696;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"EVENTOS PROMOCIÓN TURÍSTICA";15000,00
43222697;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"ASISTENCIAS A FERIAS";25000,00
43222698;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"PROMOCIÓN TURÍSTICA";380000,00
43222699;"ORDENACIÓN Y PROMOCIÓN TURÍSTICA";"OTROS GASTOS DIVERSOS";2000,00
