Time_s         F1_Hz        F2_Hz         F3_Hz   F4_Hz
0.944155   2626.048711   --undefined--   --undefined--   --undefined--
0.950405   2979.787695   --undefined--   --undefined--   --undefined--
0.956655   2992.154736   --undefined--   --undefined--   --undefined--
0.962905   2630.309837   --undefined--   --undefined--   --undefined--
0.969155   2498.276305   4566.636403   --undefined--   --undefined--
0.975405   2731.255240   5147.268631   --undefined--   --undefined--
0.981655   2924.638640   --undefined--   --undefined--   --undefined--
0.987905   2748.170713   --undefined--   --undefined--   --undefined--
0.994155   2967.149662   --undefined--   --undefined--   --undefined--
1.000405   3063.537099   --undefined--   --undefined--   --undefined--
1.006655   2515.147015   5364.959566   --undefined--   --undefined--
1.012905   2410.823288   4802.319605   --undefined--   --undefined--
1.019155   2352.535232   --undefined--   --undefined--   --undefined--
1.025405   2788.248298   --undefined--   --undefined--   --undefined--
1.031655   2904.790316   --undefined--   --undefined--   --undefined--
1.037905   2852.948251   --undefined--   --undefined--   --undefined--
1.044155   2982.222020   --undefined--   --undefined--   --undefined--
1.050405   2488.963354   --undefined--   --undefined--   --undefined--
1.056655   2778.844120   --undefined--   --undefined--   --undefined--
1.062905   2906.328733   --undefined--   --undefined--   --undefined--
1.069155   2644.081987   4907.333800   --undefined--   --undefined--
1.075405   2606.580777   4267.002004   --undefined--   --undefined--
1.081655   2614.615422   4118.215044   --undefined--   --undefined--
1.087905   2685.353323   3786.240815   --undefined--   --undefined--
1.094155   2849.532860   3524.226682   --undefined--   --undefined--
1.100405   2977.543332   --undefined--   --undefined--   --undefined--
1.106655   2892.639656   --undefined--   --undefined--   --undefined--
1.112905   2919.939977   --undefined--   --undefined--   --undefined--
1.119155   2961.937721   --undefined--   --undefined--   --undefined--
1.125405   2672.514154   4004.696391   --undefined--   --undefined--
1.131655   2543.809163   4149.206657   --undefined--   --undefined--
1.137905   2485.385911   4213.644168   --undefined--   --undefined--
1.144155   2483.017404   4168.780163   --undefined--   --undefined--
1.150405   2477.872641   4132.386201   --undefined--   --undefined--
1.156655   2508.680955   4080.243111   --undefined--   --undefined--
1.162905   2512.333689   4036.234793   --undefined--   --undefined--
1.169155   2531.760034   4057.627982   --undefined--   --undefined--
1.175405   2571.717766   4066.713768   --undefined--   --undefined--
1.181655   2597.767499   4038.532598   --undefined--   --undefined--
1.187905   2667.154958   3963.212575   --undefined--   --undefined--
1.194155   2712.843286   3901.392531   --undefined--   --undefined--
1.200405   2845.671490   3870.388373   --undefined--   --undefined--
1.206655   2893.210310   3879.905162   --undefined--   --undefined--
1.212905   2866.436720   3817.833445   --undefined--   --undefined--
1.219155   2950.702293   3718.691165   --undefined--   --undefined--
1.225405   2814.291805   3918.288935   --undefined--   --undefined--
1.231655   2651.086313   4043.851230   --undefined--   --undefined--
1.237905   2687.192683   4044.811373   --undefined--   --undefined--
1.244155   2761.356111   4010.622790   --undefined--   --undefined--
1.250405   2734.370048   3998.181901   --undefined--   --undefined--
1.256655   2688.622600   4004.580467   --undefined--   --undefined--
1.262905   2697.380074   4023.466849   --undefined--   --undefined--
1.269155   2712.990003   4060.845892   --undefined--   --undefined--
1.275405   2672.844233   4105.414209   --undefined--   --undefined--
1.281655   2640.181883   4136.200524   --undefined--   --undefined--
1.287905   2613.746861   4197.794127   --undefined--   --undefined--
1.294155   2673.517623   4198.525182   --undefined--   --undefined--
1.300405   2737.663515   4202.067814   --undefined--   --undefined--
1.306655   2742.566540   4173.568017   --undefined--   --undefined--
1.312905   2717.396104   4230.163759   --undefined--   --undefined--
1.319155   2705.520051   4288.292844   --undefined--   --undefined--
1.325405   2722.377514   4298.283602   --undefined--   --undefined--
1.331655   2749.429181   4386.425510   --undefined--   --undefined--
1.337905   2739.199094   4405.844757   --undefined--   --undefined--
1.344155   2730.314138   4422.707496   --undefined--   --undefined--
1.350405   2773.637113   --undefined--   --undefined--   --undefined--
1.356655   2823.773437   --undefined--   --undefined--   --undefined--
1.362905   2765.739437   4659.248005   --undefined--   --undefined--
1.369155   2742.978274   4395.886829   --undefined--   --undefined--
1.375405   2835.977156   --undefined--   --undefined--   --undefined--
1.381655   2909.339772   --undefined--   --undefined--   --undefined--
1.387905   3041.069513   --undefined--   --undefined--   --undefined--
1.394155   2973.503502   --undefined--   --undefined--   --undefined--
1.400405   2914.587728   --undefined--   --undefined--   --undefined--
1.406655   2943.959766   --undefined--   --undefined--   --undefined--
1.412905   3029.260036   --undefined--   --undefined--   --undefined--
1.419155   2892.815941   --undefined--   --undefined--   --undefined--
1.425405   2869.944495   --undefined--   --undefined--   --undefined--
1.431655   2974.726589   --undefined--   --undefined--   --undefined--
1.437905   2839.775896   --undefined--   --undefined--   --undefined--
1.444155   2779.867025   --undefined--   --undefined--   --undefined--
1.450405   2728.911843   --undefined--   --undefined--   --undefined--
1.456655   2837.682825   --undefined--   --undefined--   --undefined--
1.462905   2988.484456   --undefined--   --undefined--   --undefined--
1.469155   2897.781231   --undefined--   --undefined--   --undefined--
1.475405   2926.274345   --undefined--   --undefined--   --undefined--
1.481655   3093.969791   --undefined--   --undefined--   --undefined--
1.487905   3299.396518   --undefined--   --undefined--   --undefined--
1.494155   3166.861126   --undefined--   --undefined--   --undefined--
1.500405   3225.591525   --undefined--   --undefined--   --undefined--
1.506655   3179.668549   --undefined--   --undefined--   --undefined--
